-0.65,-9.45,0.91,33.11,468.25,17.59,2.25,96087.92,4.71,5.29,1
-0.8,-9.54,1.47,33.3,524.75,19.68,2.25,96114.27,4.69,7.07,1
-0.72,-10.18,0.41,33.26,616.75,18.97,2.25,96113.05,4.69,6.5,1
-0.94,-9.54,1.47,33.48,362.75,19.84,2.26,96145.5,4.66,7.34,1
-0.52,-9.6,1.14,33.39,436.5,19.62,2.26,96149.52,4.66,7.1,1
-9.08,1.87,2.36,35.75,489,20.04,2,95624.42,5.13,9.35,1
-1.02,-9.51,-1.23,34.19,781,18.46,2.25,96045.58,4.75,6.86,1
-3.14,-9,-1.34,33.76,838,18.49,2.24,96085.64,4.72,6.54,1
-3.28,-2.03,8.7,35.75,32.75,12.8,0.36,95621.67,5.13,2.86,1
2.65,5.5,-7.6,35.98,2049,11.38,2.03,95609.72,5.14,1.38,1
-1.13,-9.61,1.45,33.96,568.25,18.79,2.24,96040.8,4.76,6.93,1
-1.18,-9.59,0.25,33.34,631.25,21.4,2.25,96134.62,4.67,8.34,1
-0.89,-9.65,1.15,33.29,612,18.58,2.25,96107.11,4.7,6.22,1
-0.36,-8.87,-2.36,34.14,493.75,19.93,2.22,96059.13,4.74,7.95,1
-0.69,-9.71,-0.29,33.69,645.75,21.46,2.25,96156.05,4.65,8.66,1
-0.71,-9.37,1.9,33.14,427.5,18.65,2.24,96101.15,4.7,6.16,1
-2.67,5.86,-7.51,36.31,1158.25,12.66,2.04,95605.19,5.15,3.14,1
-0.21,-9.55,1.59,34,421.25,16.37,2.23,96050.25,4.75,4.98,1
-1.83,-9.24,-1.1,31.03,419.5,18.18,2.09,95629.34,5.13,4.07,1
-1.16,-9.55,0.63,33.45,578.75,18.75,2.26,96140.47,4.67,6.49,1
-0.68,-9.58,-0.62,33.41,650,21.18,2.26,96133.74,4.67,8.24,1
-1.22,-9.5,-0.58,32.99,639.25,19.07,2.27,96117.03,4.69,6.36,1
-7.94,2.25,4.58,35.53,318.5,13.63,1.95,95601.58,5.15,3.57,1
-2.35,-9.12,-1.75,34.13,918.75,16.82,2.25,96063.78,4.74,5.47,1
-1.18,-9.56,0.02,33.4,650.25,19.1,2.25,96137.55,4.67,6.71,1
3.66,2.77,-8.81,34.81,2384.75,12.71,2.04,95605.74,5.15,2.02,1
-0.8,-9.4,1.39,33.13,492.25,17.88,2.26,96096.72,4.71,5.54,1
-0.31,4.87,-8.47,35.79,1750.25,11.42,2.09,95602.8,5.15,1.29,1
-0.95,-9.67,1.22,33.89,533,16.87,2.25,96032.66,4.76,5.31,1
0.48,3.18,-9.02,36.26,2105,11.01,2.08,95616.13,5.14,1.13,1
0.81,-9.67,-0.34,33.82,637.75,21.6,2.25,96076.55,4.72,8.87,1
-0.79,-9.68,-0.19,34.22,717.75,17.54,2.25,96035.01,4.76,6.14,1
-0.59,-10.6,-1.67,31.67,133.25,14.59,2.09,95884.61,4.9,1.49,1
-1.99,-9.9,0.58,34.02,649.5,17.56,2.26,96050.84,4.75,6,1
-2.39,-8.28,-3.98,34.32,1094.5,16.86,2.25,96062.7,4.74,5.65,1
-1.05,-9.52,1.05,33.54,524.25,17.44,2.22,96078.94,4.72,5.51,1
-0.87,-8.73,-4.49,34.15,1060.5,17.22,2.25,96058.06,4.74,5.82,1
-1.91,-8.25,-4.6,34.32,1097.5,16.85,2.25,96057.22,4.74,5.65,1
-2.48,-7.99,-4.44,34.3,1092.25,16.86,2.26,96058.51,4.74,5.64,1
-0.76,-7.95,-5.21,34.36,1163.25,17.07,2.26,96045.78,4.75,5.86,1
-0.8,-8.94,-3.76,33.83,1061.25,17.59,2.26,96069.16,4.73,5.87,1
-3.37,-8.14,-3.66,33.88,1127,18.24,2.26,96079.42,4.72,6.44,1
-8.72,1.17,3.86,34.99,370,12.34,2.01,95606.64,5.15,1.74,1
-0.7,-9.67,0.29,32.92,624,19.12,2.26,96111.59,4.69,6.34,1
-0.33,-7.09,-6.71,34.06,495.5,16.34,2.06,95592.12,5.16,5,1
-1.29,-9.04,-2.79,32.92,972.5,19.26,2.24,96110.76,4.69,6.45,1
1.66,4.94,-8.65,36.08,1405.25,11.75,2.05,95600.78,5.15,1.91,1
-0.78,-9.47,1.2,33.52,527.75,17.67,2.25,96078.34,4.72,5.68,1
-1.99,-8.93,1.48,33.9,496.5,20.22,2.25,96069.06,4.73,7.96,1
-1.08,-9.57,-0.57,33.34,680.5,20.43,2.26,96126.41,4.68,7.65,1
-0.12,-9.4,2.52,34.04,468.5,16.52,2.24,96055.04,4.74,5.13,1
-0.68,-9.53,1.08,33.09,515.25,18,2.25,96087.28,4.71,5.61,1
-3.18,-8.76,-2.82,34.32,1093.75,17.19,2.25,96062.7,4.74,5.93,1
-0.77,-9.53,1.93,34.03,434.25,17.36,2.24,96036.12,4.76,5.84,1
-7.42,1.8,-5.94,35.7,797.5,12.65,2.08,95629.01,5.13,2.64,1
-3.34,-7.85,-4.12,34.33,1140,17.16,2.25,96067.1,4.73,5.92,1
-0.5,-9.71,-0.77,33.94,771,18.37,2.26,96034.7,4.76,6.59,1
0.49,-3.42,8.89,35.72,6.25,14.99,0.23,95622.17,5.13,5.08,1
-0.94,-9.53,1.61,33.72,505.75,17.91,2.25,96078.95,4.72,6.04,1
-0.38,-6.9,-6.62,34.08,512.5,13.73,2.05,95599.03,5.15,2.54,1
-1.14,-9.58,-0.46,34.05,779,18.15,2.25,96042.19,4.75,6.51,1
-1,-9.55,1.38,33.48,519,18.32,2.26,96072.48,4.73,6.17,1
-0.31,4.44,-8.38,35.87,1772.25,11.27,2.07,95607.03,5.15,1.16,1
1.95,3.9,-8.27,34.81,1973.5,15.79,2.07,95603,5.15,5.1,1
0.65,-5.57,6.93,31.01,132.75,17.2,2.08,95653.23,5.11,3.27,1
-0.73,-8.78,-3.98,33.28,2045.25,28.53,2.04,95547.61,5.2,12.6,1
-0.94,-9.55,0.71,33.46,613.5,17.62,2.25,96079.22,4.72,5.6,1
-0.12,-9.45,-1.95,34.26,955,15.95,2.25,96038.95,4.76,4.81,1
-9.1,1.73,-2.62,35.07,509.5,11.89,2.08,95608.98,5.14,1.29,1
-3.34,-1.71,8.63,35.66,30.5,21.58,0.32,95628.67,5.13,10.38,1
-0.76,-9.67,0.46,33.8,568.5,20.26,2.24,96135.3,4.67,7.91,1
-1.48,-9.52,-0.08,32.94,717.75,18.45,2.26,96097.72,4.7,5.84,1
-0.32,4.98,-8.4,35.72,1830.75,12.24,2.07,95605.7,5.15,2.2,1
-4.93,-0.53,8.17,35.78,137.25,16.17,0.6,95626.67,5.13,6.22,1
-0.8,-9.53,0.3,34.24,668.5,17.36,2.25,96038.37,4.76,6.02,1
-0.56,-9.63,0.32,33.92,639.75,16.68,2.18,96032.2,4.76,5.18,1
-1.03,-9.31,1.97,33.9,449.25,17.03,2.23,96017.06,4.78,5.46,1
-3.27,-8.5,-2.96,33.85,1137.5,19.62,2.25,96072.49,4.73,7.48,1
-0.41,-9.35,1.71,33.4,440,18.81,2.21,96086.41,4.72,6.49,1
2.01,-8.6,-3.94,34.23,1033.5,17.91,2.25,96053.1,4.75,6.46,1
0.81,3.74,-8.99,34.98,1713.5,13.21,2.07,95605.81,5.15,2.69,1
-4.87,-2.11,7.74,35.74,60,12.23,0.48,95614.53,5.14,2.21,1
-3.1,-8.54,-2.6,34.42,1072.75,16.47,2.25,96056.66,4.74,5.4,1
-0.92,-9.69,0.52,33.79,574.75,20.88,2.27,96133.62,4.67,8.34,1
-0.79,-9.34,-0.68,33.47,694.75,19.11,2.25,96141.91,4.67,6.78,1
0.99,-8.39,-5.34,33.8,1208.5,18.27,2.25,96075.08,4.73,6.39,1
-1.25,-9.38,1.39,33.56,333.25,20.62,2.25,96139.75,4.67,7.97,1
0.95,-9.69,-0.08,33.82,637.75,21.6,2.25,96076.55,4.72,8.87,1
0.71,-8.99,-4.62,33.11,1093.75,18.69,2.25,96098.85,4.7,6.17,1
-0.93,-9.48,0.46,33.77,644.75,19.43,2.25,96084.6,4.72,7.27,1
-0.79,-8.5,-5.86,33.77,773.25,17.16,2.24,96065.45,4.73,5.47,1
-3.71,-8.05,-3.48,34.26,1135.75,16.82,2.26,96054.56,4.74,5.57,1
-2.49,-9.4,-0.88,34.16,943.5,18.61,2.27,96062.5,4.74,6.96,1
-0.54,4.16,-8.56,36.25,1253,11.09,2.07,95595.23,5.16,1.23,1
-0.87,-9.49,-0.73,31.03,232,19.13,2.08,95632.9,5.12,4.8,1
-1.09,-9.58,0.88,33.32,549,18.82,2.25,96111.3,4.69,6.44,1
0.71,1.88,-9.38,36.27,2221.5,11.03,2.07,95584.81,5.17,1.17,1
